degree,values
37,"[0.13245298375210218, 0.1337809938336265, 0.1335749892118157, 0.1351350061806716, 0.1367220825908247, 0.129538806851628, 0.1380319725917568, 0.12751393705512495, 0.1330803297862597, 0.137546485494735, 0.13084204460494536, 0.1367790076448196, 0.13093004687173343, 0.1352104179896051, 0.14437020667138725, 0.13857575119918342, 0.13325233876817527, 0.1359805296111124, 0.13773461904342593, 0.13243334579768928, 0.14141125693932471, 0.13534705064551894, 0.13876099794188507, 0.1344700115217084, 0.13397361739255276, 0.1384309871103943, 0.1304486980703403, 0.13390887381981584, 0.13162657737883196, 0.13128679389340056, 0.13757372774793464, 0.1337457636887468, 0.13086760978973958, 0.13903539512097698, 0.1343231738660933, 0.13512141754012197, 0.13831031158192264, 0.13388183767224723, 0.13765346965687442, 0.13410734474682795, 0.13252167795153927, 0.13602604051704587, 0.132243355050504, 0.1419771570795736, 0.13435354470461128, 0.13545826394894328, 0.13643456144524768, 0.1297233975503319, 0.132899617487296, 0.13306497033994505, 0.13500906919979322, 0.12830977453694487, 0.13680824423248356, 0.13142644668753797, 0.12493731938410692, 0.13813420637245344, 0.1412560972093985, 0.13093623973628032, 0.1314538284893371, 0.13483634597878139, 0.13637080778219296, 0.13604776700700147, 0.13830745017073381, 0.13266855677609468, 0.13892160878392268, 0.12797347548236446, 0.12595763474497287, 0.1350113359352007, 0.12405844857618706, 0.13476372559834973, 0.12285304878892914, 0.1430404699587614, 0.13510586053603987, 0.1384532598760873, 0.1346494089888473, 0.13907926928975836, 0.13620948763782678, 0.13232006846325245, 0.13671836216507852, 0.1348381670391853, 0.13081812023364223, 0.13661744961302846, 0.12311275440222495, 0.1223564887308711, 0.13622704490269705, 0.12970451772850433, 0.13136488473106417, 0.1352367895907133, 0.135358607418739, 0.13651570003389485, 0.13606930308560714, 0.13510410210914406, 0.13975234474045328, 0.12296441352409353, 0.1361222358631774, 0.127782320912164, 0.14057334618499526, 0.13763298785444422, 0.1368911840838496, 0.1283321736990965]"
38,"[0.13377035524963454, 0.14390617560237742, 0.12796716448425008, 0.13814681104952928, 0.13616386103670833, 0.14596990729883882, 0.12591724360097964, 0.13468029568310957, 0.13091733848299492, 0.1335449033153665, 0.1294732328373138, 0.12883759638240236, 0.14354542925860192, 0.13367818060655318, 0.13533015349673091, 0.1372683102189431, 0.1399834742143959, 0.14029249222379425, 0.13577317595660957, 0.14541450531901987, 0.13477986764319128, 0.13615188004646445, 0.13005674805228337, 0.13347401308771692, 0.14366208598127053, 0.13910745919046374, 0.1377487870517692, 0.13713879420592565, 0.13455287046666564, 0.1285056493062007, 0.13628889945999118, 0.12850455452821657, 0.13581750357955655, 0.12961148100998163, 0.13290006555918943, 0.134887944883385, 0.14330276370859515, 0.13534666141394844, 0.1396168612639444, 0.13388508041152272, 0.13928078374435263, 0.13772260958549057, 0.1337584645685936, 0.1391207381698166, 0.13550048024352487, 0.14093939081814766, 0.14294187027142286, 0.130168490998851, 0.13174328444819125, 0.1369501826566775, 0.13607709272678256, 0.13865649379932918, 0.13879648904481107, 0.13834079831348106, 0.13321947793447017, 0.13885624274682665, 0.13510433846100145, 0.13361386348058704, 0.12904666016952848, 0.1410617219601983, 0.13544383471636798, 0.13637540398251088, 0.1363287737651347, 0.1303477778082264, 0.1383951257402218, 0.13442146712021716, 0.1336590852780926, 0.13837644518161685, 0.13887371192095707, 0.1332691982622556, 0.13343848379712855, 0.14243647824396558, 0.1400698365801145, 0.13302484140652987, 0.1402839141381219, 0.14268922757959218, 0.1266927529399821, 0.13658375301021067, 0.132220268447384, 0.13564528254644065, 0.1379603475302705, 0.14975806210546366, 0.13427910063852191, 0.13031584766667423, 0.13433759642313242, 0.1362448327815393, 0.1277125949368946, 0.13423884997368427, 0.1294423053230621, 0.1403243724715298, 0.13742846446675483, 0.13959362528526248, 0.13362008830406993, 0.1372078704038988, 0.14200767456745042, 0.13852049103775835, 0.14301979638862597, 0.14471321534402215, 0.14087604116080127, 0.13873801774571065]"
39,"[0.13776538198799815, 0.13674288972312978, 0.13530126591119648, 0.13180250967013676, 0.1327542858696157, 0.1366433593936941, 0.13769515637487853, 0.13704395314628498, 0.12796717940251853, 0.14230071639591776, 0.14313919532779426, 0.13595553313119896, 0.13013581075683484, 0.13839455813512183, 0.1410658753035801, 0.12977716618054957, 0.13049301000609495, 0.13903048726417763, 0.14090513609434677, 0.13637583708787382, 0.135758320528268, 0.1419180286475349, 0.13192194530114346, 0.1377588244984329, 0.13423495334665433, 0.12995357446634784, 0.14082719683884953, 0.13191873989390057, 0.1380167484562697, 0.13682119118114203, 0.1441453286612098, 0.14610523800029782, 0.13180430428826997, 0.13790544591497866, 0.14187775268196504, 0.13409244472960827, 0.13358002137027591, 0.14089155353706595, 0.13623497442780358, 0.13475493839873187, 0.1358792372159395, 0.12846203447977772, 0.12736258312757048, 0.1333359333407577, 0.12966186796954063, 0.1314429876324393, 0.1392614812254055, 0.13476814748336938, 0.14430470467459441, 0.12873208501960043, 0.13675345540190084, 0.12989365562275845, 0.13654053330901098, 0.13918062250556593, 0.13998542147897147, 0.13605151496244589, 0.14008855594045957, 0.13835761839393904, 0.14080271957660445, 0.13069857906493357, 0.13579053596927876, 0.13964304111582868, 0.14106503192756045, 0.12647918469867156, 0.14263247109470537, 0.14337015632443403, 0.13911460851262222, 0.1444349663473269, 0.1392498148431423, 0.13183676424188848, 0.13925289444486155, 0.13740429745984795, 0.12897691776251854, 0.13283627389519137, 0.13577152279768306, 0.13514890324545856, 0.13178244570869047, 0.13681315916080902, 0.14106981437392996, 0.13598485660117215, 0.13570519023068114, 0.13542303070395176, 0.13466993522110113, 0.12943377109929777, 0.13602351177493557, 0.13439561485015203, 0.13435256234235457, 0.13553591830535652, 0.13531669098753812, 0.13934574090535243, 0.13711832761901765, 0.14254672116005873, 0.14076889187929062, 0.1405396374763025, 0.13096114255341862, 0.13820447785595366, 0.13807553591563795, 0.13163777348001415, 0.1380829534563438, 0.13244092520566542]"
40,"[0.137887546175866, 0.14364798990933736, 0.14726928092988573, 0.14168520153205377, 0.13317698193158928, 0.1371164549715519, 0.1371583847993145, 0.13537205381724213, 0.13714065419294855, 0.14095636279232748, 0.13471669307137193, 0.13895152742622474, 0.13247828912295834, 0.13731071298831474, 0.1362502603602453, 0.14006156680943668, 0.13706154785570038, 0.1417588709441748, 0.14480905732852617, 0.1441547621260424, 0.14109834945267147, 0.15051894136358446, 0.13713836364950865, 0.13887170559189868, 0.13386733010107663, 0.14041549768532058, 0.13749572179066707, 0.1378917950017857, 0.13204941982243457, 0.1380004985592415, 0.13795262178253995, 0.13123403946307033, 0.14244725626520557, 0.1424058207695963, 0.14018044815468514, 0.14051150789337272, 0.1381583487953065, 0.1423898755446766, 0.14176082800953185, 0.14076698520177355, 0.14173451853582403, 0.13269203919049544, 0.13311043783887128, 0.14336730318640883, 0.141435539014856, 0.13643295578386683, 0.13727190556904925, 0.14159125245020607, 0.1440156858305776, 0.12346933854761032, 0.1392182818973914, 0.14309925384160166, 0.13945009147033302, 0.13680992351498122, 0.1390281139564915, 0.13399050853493638, 0.13662770309682315, 0.14014332604720459, 0.13835367898445403, 0.13889072008564587, 0.1467438639484646, 0.14504856430049975, 0.13979604840354098, 0.14167964801110405, 0.14053452264612518, 0.130932211336609, 0.15024667384921916, 0.13765851455234468, 0.14013638379444446, 0.14149750911869058, 0.14579040651237662, 0.14243354854530163, 0.13232303228634776, 0.13566843312218455, 0.1348562275355479, 0.13260156537145407, 0.1308526750371546, 0.14003782137711923, 0.13237169592520978, 0.13480660733101954, 0.14181201081665612, 0.14095310787210588, 0.13769770255178262, 0.14422115367957306, 0.14170388598198716, 0.1432868337764924, 0.13742181269493142, 0.13636657347914788, 0.13717935151454608, 0.13739193075406497, 0.14036947478298617, 0.14066377363562182, 0.13856311637769939, 0.1435463095463467, 0.1448330494364901, 0.13363214502901274, 0.1387324684573084, 0.13846186211958275, 0.1325786313084485, 0.13669050829057078]"
41,"[0.14065569925123797, 0.14011877940350242, 0.14114823987594588, 0.1405467133738831, 0.14259870574737163, 0.13293131213231815, 0.13736262753539205, 0.12927231041695766, 0.1466519400221685, 0.1393476750427386, 0.13048584519961393, 0.13426961071151391, 0.14273016007090072, 0.14125858246197487, 0.13371620274997587, 0.14736630085596558, 0.13362194724480578, 0.1450133290972563, 0.1436210907368001, 0.13861114144745815, 0.14738677377479809, 0.14029241736598644, 0.14439903629285644, 0.13733271733203245, 0.1414655675690488, 0.14472026554258785, 0.13857267460773112, 0.14807806830234072, 0.14344107481241747, 0.14834857966847897, 0.13580150520246043, 0.1422068884680324, 0.13732856640186672, 0.14190504455342914, 0.13987941690926697, 0.1330139924213772, 0.13881912118601994, 0.1374714892190848, 0.14229705779733465, 0.1404861629072595, 0.14614395269578925, 0.14053221242514213, 0.13777806632456882, 0.13579572250941388, 0.1399192150712693, 0.1379955444015004, 0.14948135958419106, 0.13900518565522033, 0.1322549528105868, 0.13840121846417242, 0.14149209912175792, 0.14483796031158377, 0.1428582872195358, 0.1460891567562898, 0.14416538348701108, 0.14210446674437405, 0.14893220493863005, 0.13844969984456956, 0.137308036153333, 0.14284403911058044, 0.14415967345318564, 0.1459561142558103, 0.14143370040389722, 0.15162773032304078, 0.14166008212598674, 0.14620782866697188, 0.13695141317875356, 0.14351576367504748, 0.14091787163041267, 0.12703067179270774, 0.14104351403878568, 0.13951466169637688, 0.13993852852468147, 0.14351110336453757, 0.12999756869715348, 0.1392157514209848, 0.13976763211298524, 0.13159290547983002, 0.14015869610811088, 0.13602773730361237, 0.14033362475446778, 0.14228854789786557, 0.14427585638039844, 0.1424670260647133, 0.14227618374594767, 0.14144349499775294, 0.14671128648943746, 0.13387785051061385, 0.1400435997284152, 0.13946044684863762, 0.14002980129441145, 0.14478866242495106, 0.14284152223816787, 0.14480552207643418, 0.14816205218389283, 0.1487046531274871, 0.13319982394754804, 0.14292336854931317, 0.14416515700160343, 0.1422135660577834]"
42,"[0.14641978755110055, 0.13631468631853547, 0.13980203554922718, 0.14323697497065752, 0.150435664376167, 0.13089754658603028, 0.14555101483338975, 0.1450019328814427, 0.13772643546928834, 0.13861114878800032, 0.1434425738037759, 0.15044071680375504, 0.14413503354621296, 0.1456519658196646, 0.1503785957439426, 0.1355302579490335, 0.1341547244506965, 0.13773308441697646, 0.13727705244820285, 0.14038580747514678, 0.14781296323301307, 0.1471678070258374, 0.14364456798620096, 0.14393604020165035, 0.15042692256075776, 0.13470089018348508, 0.14712701706973697, 0.14899286675816686, 0.1427866628173811, 0.13726334489382108, 0.14561464495118212, 0.13890178232505024, 0.13863808504536707, 0.15109664212694646, 0.15038363770494248, 0.14388654153896396, 0.13775392215940946, 0.13541711766164102, 0.15163949193793846, 0.13844042398368975, 0.14766731310907238, 0.13978145564612288, 0.13856573251990664, 0.1423244078971625, 0.14495128479433905, 0.14757145183744305, 0.14523059832392965, 0.14325828625859838, 0.1426833142557986, 0.13798187783971555, 0.14366362784239312, 0.14136844285534553, 0.14562491622576837, 0.13874772655812392, 0.15101621705903404, 0.14762289805039872, 0.13824229213221548, 0.14628397407252208, 0.1435331227066779, 0.14633368084056428, 0.14527329185870963, 0.1485170630163697, 0.13770652520516682, 0.1429713041350674, 0.1444514673281311, 0.139160192635695, 0.14800899447170549, 0.14454827264275572, 0.14926275925371046, 0.14562734600951216, 0.1500805547066826, 0.13824918854319707, 0.14097693299160804, 0.14302395538007917, 0.14055121278043312, 0.14649217511207216, 0.14419076454475022, 0.14078333558785916, 0.14234291709622113, 0.14734257550466662, 0.14070353897428747, 0.13714856047637372, 0.1485493378322208, 0.1322444719000663, 0.14565921544828558, 0.14417195380159295, 0.13576045850052706, 0.1448886399192593, 0.1467956430349076, 0.14506206793700266, 0.14645297664312568, 0.1415018444580345, 0.139883425491734, 0.1510531251148792, 0.1406707181007389, 0.14588642470562588, 0.1414171724082511, 0.1524301022389346, 0.14600534906919843, 0.14115646670473264]"
43,"[0.13780383970626095, 0.14726771806037708, 0.14392762316359156, 0.14842584634648384, 0.14724703727014612, 0.14503452436494532, 0.1422964737394309, 0.14025611724954584, 0.1488884220736462, 0.14829921520419578, 0.14785372844981232, 0.14205632758166176, 0.15236616745380885, 0.15256482803242027, 0.14947425570453243, 0.15885261621481178, 0.14723002099698232, 0.14170511119119436, 0.14935042092608874, 0.1413694594681397, 0.15066732413695808, 0.14589291577188196, 0.1519941825266161, 0.15090902013925003, 0.14135457814484667, 0.1417585045980967, 0.15357564931268167, 0.14509788146372715, 0.13703323124742176, 0.13861265243430282, 0.14502050386380855, 0.14054256375488972, 0.14635792767633277, 0.14108005615753438, 0.14973114605143725, 0.14415840616497214, 0.14490570233026073, 0.1403395404697203, 0.14921622434539303, 0.14696148808195209, 0.14610850580321408, 0.1463344036766377, 0.15487849686086227, 0.145892504399457, 0.14288250483732098, 0.1424918531451813, 0.149160124425569, 0.14813004577557917, 0.15113383103558586, 0.14988806616035863, 0.14361716935735527, 0.13779355853474595, 0.15218498805968386, 0.14052465423153288, 0.14139799441209835, 0.152465798148795, 0.14892960455368684, 0.15086349772316437, 0.14075799984119103, 0.14949308793377342, 0.1458373309651734, 0.15239090319134918, 0.14345976903280896, 0.1468548963855987, 0.14240501728059304, 0.1551653132085866, 0.14622710567744115, 0.14521447303210017, 0.144040406802991, 0.14814739491357473, 0.14990747455890235, 0.14047827758315462, 0.14377997689679586, 0.14827956780503998, 0.1357333833253114, 0.13806446459666571, 0.15371459098928997, 0.14844949603685018, 0.14548410223662767, 0.1417268138753068, 0.1554309725650071, 0.15055819981588986, 0.13476016548349415, 0.14687819496240095, 0.14909879066506823, 0.14478381387998662, 0.14710973000190955, 0.13900204533749802, 0.14083231933859192, 0.15348796323405847, 0.15319712471757155, 0.14355792401137737, 0.14833548096381297, 0.14456913961632106, 0.1597602710246006, 0.1487491734910467, 0.1410598322123899, 0.143606002378495, 0.1504002225431017, 0.15787880133223922]"
44,"[0.14606471648881314, 0.154935544455718, 0.15259198161207735, 0.15407433907143522, 0.14202089038334464, 0.15052031039399585, 0.14403949527408455, 0.14926370857102478, 0.15297374387017332, 0.15264423374365937, 0.1488888405087487, 0.14470233559614662, 0.15653756449564815, 0.1505074161293291, 0.15548244572343967, 0.15847981051196416, 0.13991431539068594, 0.1460796846332762, 0.15572462564498107, 0.14226903142793543, 0.15028366674931512, 0.14811137839889157, 0.14821438047453975, 0.14529078026497488, 0.14849099879142966, 0.15786632290654262, 0.14403782806402893, 0.1538349820156963, 0.15113442221273135, 0.1531008614365131, 0.14315277705391027, 0.15101281381652232, 0.15261286888639436, 0.15283781781771952, 0.15409719413274037, 0.1473648407209149, 0.13884041225415353, 0.15211768258867253, 0.14784343801520633, 0.15867180855037247, 0.15807224173030565, 0.14585291793314706, 0.14900897703162636, 0.15013907942269136, 0.14870459328710517, 0.1553221269437488, 0.15191862219966482, 0.15225447324818167, 0.15572451994874878, 0.1480790473179962, 0.14561627266415186, 0.14752231401636762, 0.15504106009083693, 0.14481676542342084, 0.15550904604415974, 0.15229875345423374, 0.15736900100787304, 0.15283828626450957, 0.14778586151206824, 0.1425803560970068, 0.1464334619802212, 0.14878229178099697, 0.14631752174835405, 0.14538350038876446, 0.14586350168277526, 0.15261016376787295, 0.15729037958904735, 0.1460651974847581, 0.15003923629085722, 0.15046158219083447, 0.14831855151959614, 0.1491784849717884, 0.1512115586331567, 0.14662785050296515, 0.14429860580547768, 0.15563354660986609, 0.15244097886000776, 0.1558567850480603, 0.15075838310208153, 0.1551443770873745, 0.15983903511121203, 0.15271195292421774, 0.14202859053792996, 0.13857902958562038, 0.13413778824538633, 0.15481322902492345, 0.14865205473308998, 0.14974162898961865, 0.15265528674731618, 0.15044606545519681, 0.13664590401701032, 0.13797608168786502, 0.1507724734493796, 0.1461796646552546, 0.1557190080403846, 0.15113555669942522, 0.15030069100880736, 0.153159971574406, 0.14793956290486737, 0.15273969090375272]"
45,"[0.1544794467113718, 0.15642798661400653, 0.1453347623468481, 0.16208708585606516, 0.15940405848391676, 0.1528339906756765, 0.15811389102814888, 0.15364807697948665, 0.1543280886929641, 0.15513955008483296, 0.15052997683051225, 0.15751092317531146, 0.14650747922781568, 0.1673629161768981, 0.15091952371265777, 0.15291886390389492, 0.14879245903889252, 0.15035798191875388, 0.15769318282683276, 0.14827223765253367, 0.1470626156597944, 0.1585197129583083, 0.1454729109823613, 0.15800429246325692, 0.14715642383665062, 0.1611196739918321, 0.15245531419409064, 0.15987845905814885, 0.15497423255022238, 0.15658244129448493, 0.1475696223393208, 0.15139071974054435, 0.15347163166405986, 0.15108189141500158, 0.15339868000379075, 0.15068695624293965, 0.15286481938466745, 0.1511668316309315, 0.15304793318221915, 0.15415237384116603, 0.15617855655729848, 0.1594163693467277, 0.14887609473037705, 0.1622520404485141, 0.15507123349010993, 0.1463289409022865, 0.14635146409682784, 0.15447490059639124, 0.1487019785654988, 0.14649098198039762, 0.16301693372355452, 0.14828678445997337, 0.15108057453087595, 0.15576107363700506, 0.14906936541424207, 0.15254523224356314, 0.15072581718406952, 0.1524668551849015, 0.1580790852513534, 0.15571464526537843, 0.16125054951557352, 0.1539242161841118, 0.15881316621256247, 0.1564229554546077, 0.1461959645391169, 0.15974543306514988, 0.14784766717978862, 0.14667473822278063, 0.1553561947593882, 0.15820612838271575, 0.15150516165407057, 0.15861204774272047, 0.152619468172453, 0.1491317049420977, 0.14340845837926894, 0.15803284652179617, 0.15404478417985037, 0.15448058923635846, 0.1497488746398358, 0.15385978853482474, 0.15304471172479214, 0.15425376656207035, 0.1464218730056968, 0.1619545787647538, 0.14730471748677237, 0.1463435506006013, 0.14916210861724968, 0.1505418429016791, 0.14942316368283365, 0.15986715827923934, 0.15676670923149913, 0.14868936389762666, 0.1537078100424162, 0.1484462274191875, 0.14742468180685306, 0.15211553562202712, 0.15163949610487706, 0.1555323437960085, 0.15092271537270358, 0.15419206960495047]"
46,"[0.15541637791735075, 0.15953099350563754, 0.15439509765578077, 0.1582479645099555, 0.15958544367237196, 0.15699414091090583, 0.16129326925454102, 0.15080439500142312, 0.15333060425043019, 0.15844581638966196, 0.15512432414911928, 0.15450801351949686, 0.154849021986635, 0.15155723236998683, 0.15737150485149504, 0.1607451540138418, 0.16266149407793956, 0.15977912679867268, 0.16437403153588984, 0.1617664399239976, 0.150316280920651, 0.16196454359079046, 0.15713581089991702, 0.160008194581884, 0.15519614122256237, 0.15751250596085478, 0.15415316110224875, 0.1614143554327939, 0.1638224313256393, 0.1565384895150524, 0.16062460444493812, 0.15707120014423606, 0.1532974708593651, 0.153538432016788, 0.16218532669862784, 0.15150260541963204, 0.15770585575370127, 0.1599391853007644, 0.15981488033143987, 0.15023595541494839, 0.1533620046895736, 0.15838249572597657, 0.15231449989474252, 0.15586100675361925, 0.1532431855993671, 0.15355568819723964, 0.16253579563143158, 0.15903071182834383, 0.15304361525832605, 0.15771795981811942, 0.14683355457548447, 0.1574538446457311, 0.1487839383584168, 0.15190475646154403, 0.1584731277444916, 0.1553322235191036, 0.16279334789975833, 0.1602038787224479, 0.15587810651430717, 0.15675802601290964, 0.15891957595315173, 0.1586218886910036, 0.1484608964833626, 0.15835301062524712, 0.15467582172366182, 0.1563354661379273, 0.15296797982262805, 0.15970206852561467, 0.16192139437766537, 0.15353990089830022, 0.15518921345433767, 0.15915198113087106, 0.16662711064543875, 0.15858447437790033, 0.16324612135388505, 0.15473953861062228, 0.15963594729016528, 0.1603828361560499, 0.1558296642327245, 0.16032921054677812, 0.16172908086128204, 0.1530155386572367, 0.1634121874784785, 0.15952852218684724, 0.16710496889299936, 0.15634826970594703, 0.15602570817444414, 0.16645610558694396, 0.15420241515758354, 0.16075288597974938, 0.159295112099629, 0.15996519332474332, 0.15401700930147913, 0.15764317771213374, 0.16260011896364482, 0.15377422966172627, 0.15624022620421138, 0.164729514088765, 0.15349943832023186, 0.1560906419154552]"
47,"[0.15961763637022366, 0.1604199228204413, 0.1708077253276938, 0.15765381817790844, 0.1624433671146237, 0.16921084840137426, 0.16798164354955755, 0.16151472513121312, 0.16281974298653365, 0.15219706117783122, 0.15887945144778687, 0.1668131374755472, 0.16003728428936703, 0.1588062402457852, 0.1585750973882782, 0.15620154653856705, 0.16837624613238703, 0.16167273270294655, 0.1664895229247705, 0.1618615107698581, 0.17278518692407283, 0.16298789716219664, 0.1657132996703748, 0.16052800200859624, 0.15742164779205176, 0.16190022262228226, 0.16063793913020205, 0.16781006957357772, 0.16898865567140112, 0.15185741743599723, 0.1564215020851231, 0.14944547185979964, 0.1613938702986544, 0.16574364462174596, 0.16407947001602874, 0.1679812086821472, 0.15307292740899067, 0.16668070894331394, 0.15299051409715203, 0.15853446709417504, 0.167106529261021, 0.16205831195466258, 0.16603793374575604, 0.15980669332124198, 0.16617502802899684, 0.15769777126274684, 0.17365260154966447, 0.17218194459692612, 0.1651646953739742, 0.16153252196631948, 0.16504626356000932, 0.1604276136629971, 0.1605608617507113, 0.16430689937019066, 0.15528287152614825, 0.1611606672316725, 0.16598983520899982, 0.16018567065667938, 0.16663813636474745, 0.1616121389772816, 0.16874764027146744, 0.166071822034058, 0.1665841207442161, 0.16489361159056362, 0.15894238750031933, 0.15498881441679851, 0.1595482968827172, 0.16997962764617527, 0.16549058497407362, 0.16414688405144628, 0.1641577305118005, 0.16119586477229123, 0.15461382596536555, 0.16561312758264154, 0.16524780587597765, 0.1618261248272616, 0.15618353285091804, 0.16675029764269197, 0.16264216076813948, 0.16519087521331455, 0.16076094359874443, 0.15749712301623578, 0.16746640886966085, 0.16263497454837353, 0.1623402859198141, 0.1605790879322179, 0.16359741564176095, 0.1669394478546013, 0.16239932152207984, 0.1640899266545247, 0.15723137863463232, 0.15804542675368805, 0.16560690158367578, 0.1559109127556449, 0.16915050718627764, 0.1630715935939786, 0.16191240441349078, 0.15628088642453156, 0.16828289691276163, 0.16168965594374032]"
48,"[0.16315307887208808, 0.16000602800725522, 0.17031609738371267, 0.16780438494848196, 0.17249070364138633, 0.16210688954586336, 0.17101924768658552, 0.16846848822206478, 0.17650150807044504, 0.16815418406725788, 0.16541470845609088, 0.16581787212730856, 0.17080600126547868, 0.1624876596021855, 0.17091025269360338, 0.17183423194688927, 0.1714274803281293, 0.16864605741365846, 0.17031119107289794, 0.16708173355341566, 0.16862277710300058, 0.15871616379030395, 0.1682130845632805, 0.1632354771899433, 0.1650193931001106, 0.16457171937933837, 0.16235319089710454, 0.1680694142855048, 0.16382960583872355, 0.16745709554728175, 0.16300635086422216, 0.16341413844017894, 0.172577692617628, 0.17421367482707328, 0.1636748746485342, 0.1581602358917306, 0.16740290461125368, 0.16462097117773034, 0.17139796994036388, 0.17069010864184025, 0.16799481646913791, 0.17459848356362617, 0.17324495183085856, 0.17499229696483737, 0.1745866348782134, 0.16182266567068743, 0.17550172751605733, 0.1668325527208027, 0.17388259910260762, 0.1678318436553452, 0.17370911367722802, 0.17059488826967306, 0.17051883706490295, 0.17581218672418528, 0.1726134390703898, 0.1727307696671016, 0.167003459686953, 0.17032795733440942, 0.1676821171593182, 0.17546587615378342, 0.1695024944113422, 0.1656955315367512, 0.1714375575142658, 0.16710186340581515, 0.16920098611213033, 0.16746530364683557, 0.1692786985719453, 0.17565688769939367, 0.16687750778261037, 0.16738641842156524, 0.17276956120658263, 0.16149452715556667, 0.1769073540840747, 0.16896063294120486, 0.16289025877048585, 0.17082289878007456, 0.16749610020287858, 0.16395142580017324, 0.1734479460505736, 0.17072177527602156, 0.1625422188271467, 0.1625499567158996, 0.16828451438633657, 0.17324177399792612, 0.1645810636296353, 0.16356917878716704, 0.16362118736663697, 0.15548049042611575, 0.1730768792355218, 0.17233211176902055, 0.1703584306795592, 0.17381090266645122, 0.1619672094420296, 0.1734412759095815, 0.16700691831986766, 0.171590655938964, 0.17276849847508446, 0.17531756790166497, 0.1726992437890109, 0.1648511274142218]"
49,"[0.17139396822212824, 0.1727608335142234, 0.17794781937399806, 0.17387659117087575, 0.1690077887755202, 0.17404454311161596, 0.1727794023454833, 0.1742029655919021, 0.18072391712727165, 0.17615461172418484, 0.17328333531962073, 0.17899181726286104, 0.17818190528796612, 0.186692880931944, 0.1799965519368622, 0.17029535602868417, 0.16272784441176122, 0.17334271584871686, 0.1695112747128327, 0.17518810329234946, 0.1775456928342102, 0.18262226935700884, 0.1843493294469637, 0.1664261220651403, 0.17685765506609114, 0.1695370860326616, 0.17450220497509017, 0.1765784881293407, 0.1785384002607455, 0.17823998665407478, 0.17628501020968704, 0.17721191893591107, 0.16788158529358163, 0.1866463933229244, 0.17839474839092684, 0.17064273152262457, 0.1762736546047972, 0.1708031426543452, 0.1806698699757186, 0.1764670790637097, 0.17527356701636215, 0.17392127223285908, 0.17799182186976883, 0.1713543594032857, 0.17277354656395974, 0.17590233280572612, 0.16773226892899504, 0.1835523096339376, 0.1866855328377859, 0.17091057828109313, 0.1731783807672689, 0.17720489970723008, 0.1709563284596131, 0.18010181585568633, 0.1723900643777927, 0.17381922127314625, 0.17317679714072054, 0.18473062968124027, 0.17115893282280958, 0.18292606983272208, 0.17160896683146057, 0.16831163635821686, 0.17502083634488713, 0.17781323341813454, 0.16762647424507585, 0.1778413569487178, 0.18755984922956825, 0.17230179340034196, 0.17948446485656067, 0.17302027182557378, 0.1771660352401153, 0.17012167087822974, 0.17173414824494562, 0.17761279786104125, 0.17866274103163554, 0.17952537537710075, 0.176905336874003, 0.17012166500322023, 0.17757156120207312, 0.180711060931241, 0.18288837820715448, 0.17895696987161952, 0.17872495115622697, 0.1797632763637917, 0.17417801530985705, 0.1759053442827804, 0.17135715855374087, 0.1774568093277296, 0.1752483367515278, 0.17628357992683022, 0.173481292371855, 0.16794889353091444, 0.17419121821089237, 0.18134857422281653, 0.1754790842875512, 0.17861154295324308, 0.17887005536497688, 0.16909340078642585, 0.1755979520791641, 0.18089360676133534]"
